Track name, Artist name, Album, Playlist name, Type, ISRC
PILLOWTALK,ZAYN,PILLOWTALK,Favorite Songs,Favorite,USRC11600042
New Americana,Halsey,BADLANDS,Favorite Songs,Favorite,USUM71507637
Under the Sun,DIIV,Is the Is Are,Favorite Songs,Favorite,QMMZN1300928
Downtown,Majical Cloudz,Downtown,Favorite Songs,Favorite,USMTD1506720
waves - Tame Impala Remix,Miguel,Rogue Waves,Favorite Songs,Favorite,USRC11600326
Down The Road,C2C,Tetra,Favorite Songs,Favorite,FR9T31200001
Happy,C2C,Tetra,Favorite Songs,Favorite,FR9T31200012
Delta,C2C,Tetra,Favorite Songs,Favorite,FR9T31200017
F.U.Y.A.,C2C,Tetra,Favorite Songs,Favorite,FR9T31100002
The Cell,C2C,Tetra,Favorite Songs,Favorite,FR9T31200008
Le Banquet,C2C,Tetra,Favorite Songs,Favorite,FR9T31200016
Arcades,C2C,Tetra,Favorite Songs,Favorite,FR9T31200004
Together,C2C,Tetra,Favorite Songs,Favorite,FR9T31200015
Genius,C2C,Tetra,Favorite Songs,Favorite,FR9T31200014
The Beat,C2C,Tetra,Favorite Songs,Favorite,FR9T31200002
Give Up The Ghost,C2C,Tetra,Favorite Songs,Favorite,FR9T31200013
Who Are You,C2C,Tetra,Favorite Songs,Favorite,FR9T31200011
Because Of You,C2C,Tetra,Favorite Songs,Favorite,FR9T31200010
Kings Season,C2C,Tetra,Favorite Songs,Favorite,FR9T31200009
Varkala,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500107
Natural Fools,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500106
Midas,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500105
Raincoats,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1405402
Say More,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500103
Wallflower,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500104
Steal,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500102
Rituals,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1405400
The Clown,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500101
Home,Maribou State,Portraits,Favorite Songs,Favorite,GBCFB1500100
"New Person, Same Old Mistakes",Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500302
Love/Paranoia,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500301
Reality In Motion,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500300
'Cause I'm A Man,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500298
Disciples,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500297
Past Life,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500294
The Less I Know The Better,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500303
Gossip,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500299
Eventually,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500296
Yes I'm Changing,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500295
The Moment,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500304
Nangs,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500293
Let It Happen,Tame Impala,Currents,Favorite Songs,Favorite,AUUM71500292
Circles,machineheart,Circles,Favorite Songs,Favorite,USSM11501744
Vagabond,WILD,Vagabond,Favorite Songs,Favorite,TCACH1567120
Hold Me Down,Halsey,Hold Me Down,Favorite Songs,Favorite,USUM71507626
Bring My Baby Back,Dr. Dog,The Psychedelic Swamp,Favorite Songs,Favorite,USEP41540004
Basic Instinct,The Acid,Basic Instinct,Favorite Songs,Favorite,GBZUZ1300215
Fire,Kasabian,Fire,Favorite Songs,Favorite,GBARL0801805
What You Know,Two Door Cinema Club,Tourist History,Favorite Songs,Favorite,FRU700900116
Sail,AWOLNATION,Megalithic Symphony (Deluxe),Favorite Songs,Favorite,USP6L1000053
Dark Fantasy,Kanye West,My Beautiful Dark Twisted Fantasy,Favorite Songs,Favorite,USUM71027263
BKCBD,The Blancos,BKCBD,Favorite Songs,Favorite,TCACM1603237
Rewind,Umpire,Rewind,Favorite Songs,Favorite,GB-SMU-25-07099
Circles,Bantug,Circles,Favorite Songs,Favorite,TCACL1699133
Marry You on the Dance Floor,Christofi,Marry You on the Dance Floor,Favorite Songs,Favorite,QZ2QB1600016
Skills,Gang Starr,Mass Appeal: The Best Of Gang Starr (Explicit),Favorite Songs,Favorite,USVI20200353
Fireproof,The National,Trouble Will Find Me,Favorite Songs,Favorite,GBAFL1300058
Don't Let Me Down (feat. Daya),The Chainsmokers,Don't Let Me Down (feat. Daya),Favorite Songs,Favorite,USQX91600011
Lonely Cities,Tigertown,Lonely Cities,Favorite Songs,Favorite,USAT21504246
Middle,DJ Snake,Middle,Favorite Songs,Favorite,USUM71515784
One Dance,Drake,One Dance,Favorite Songs,Favorite,USCM51600028
Lush Life,Zara Larsson,Lush Life,Favorite Songs,Favorite,SEWEE1500509
Low Life (feat. The Weeknd),Future,EVOL,Favorite Songs,Favorite,USSM11600557
You Got It Wrong,Castell,You Got It Wrong,Favorite Songs,Favorite,USRE51612306
Comic Strip,The GOASTT (The Ghost Of A Saber Tooth Tiger),La Carotte Bleue,Favorite Songs,Favorite,USSUX1000022
Run This Town,The Apples,Buzzin' About,Favorite Songs,Favorite,GBJSH0824102
Nightcall,Kavinsky,OutRun,Favorite Songs,Favorite,FRS710900410
Ghostwriter,RJD2,Deadringer: Deluxe,Favorite Songs,Favorite,USA4T0403506
"i hate u, i love u (feat. olivia o'brien)",gnash,us,Favorite Songs,Favorite,USAT21601051
Kozmic Blues,Janis Joplin,Janis Joplin: The Woodstock Experience,Favorite Songs,Favorite,USSM16900951
Guillotine,Jon Bellion,Guillotine,Favorite Songs,Favorite,USUM71602918
Within,Daft Punk,Random Access Memories,Favorite Songs,Favorite,USQX91300104
Superego,Leach,Millennial Spirituals,Favorite Songs,Favorite,QMPKX1671945
Désert,Jumo,Désert,Favorite Songs,Favorite,FR0Z41609005
Morning Light,Stone Cold Fox,Morning Light,Favorite Songs,Favorite,TCACN1647289
Second Heartbeat - Collarbones Remix,Urthboy,Second Heartbeat (Collarbones Remix),Favorite Songs,Favorite,AUEF01600887
Change My Mind,Stone Cold Fox,Change My Mind,Favorite Songs,Favorite,TCACM1619196
Kamikaze,MØ,Kamikaze,Favorite Songs,Favorite,GBARL1501371
To Catch a Thief,Lovage,Lovage: Music to Make Love to Your Old Lady By,Favorite Songs,Favorite,QMWWU1100005
Good Girl,Aquilo,Good Girl,Favorite Songs,Favorite,GBUM71505446
You (Bug Lover Rework),Nils Frahm,Screws Reworked,Favorite Songs,Favorite,GBWZD1507901
Heat On,Scratch Bandits Crew,Stereo 7,Favorite Songs,Favorite,FRP7S1500060
Soundboy,Scratch Bandits Crew,Stereo 7,Favorite Songs,Favorite,FRP7S1500030
